u,v,dist
4972483464,4972483447,308.345079085
4972483447,4972483464,308.345079085
4972483447,4972483443,260.868551365
4972483443,4972483447,260.868551365
4972483443,4972483442,252.076891761
4972483442,4972483443,252.076891761
4976572424,4976572429,85.2146440968
4976572429,4976572424,85.2146440968
4976572429,4976572430,41.6530184256
4976572430,4976572429,41.6530184256
1364513661,1364513602,204.511943467
1364513602,1364513661,204.511943467
1364513602,1364513126,79.2238331665
1364513126,1364513602,79.2238331665
4978886687,4978884628,32.351438404
4978884628,4978886687,32.351438404
4978884628,4978884984,83.0379547741
4978884984,4978884628,83.0379547741
4978884984,4978883513,3.21854756325
4978883513,4978884984,3.21854756325
4978883513,4978885790,87.8665131543
4978885790,4978883513,87.8665131543
5443154497,5443154516,10.9823425856
5443154516,5443154497,10.9823425856
4976864958,4976862888,104.370075109
4976862888,4976864958,104.370075109
4976862888,4976862890,11.0437283362
4976862890,4976862888,11.0437283362
4976862890,4976862900,42.3468824591
4976862900,4976862890,42.3468824591
6714685172,6714760903,373.093240476
6714760903,6714760904,202.578131498
6714760904,6722775485,374.864421154
6722775485,5439831215,329.150584632
6709524698,6709524690,148.625283995
6709524690,6709524698,148.625283995
6722629298,6722629297,92.6967077693
6722629297,6722629298,92.6967077693
4976866485,4976866479,166.691889458
4976866479,4976866485,166.691889458
4978979278,4978979536,133.217003334
4978979536,4978979278,133.217003334
4975037500,4975037507,182.504711702
4975037507,4975037500,182.504711702
4976466164,6722534029,379.522316473
6722534029,4976466164,379.522316473
6722534029,4976466171,79.2185410495
4976466171,6722534029,79.2185410495
2283874514,2283874495,39.0813865947
2283874495,2283874514,39.0813865947
4983818345,4983811707,125.625179318
4983811707,4983818345,125.625179318
4983811707,4983811640,237.077047201
4983811640,4983811707,237.077047201
5053031696,5053031706,332.198258662
5053031706,5053031696,332.198258662
4977089308,4977089301,73.7054553197
4977089301,4977089308,73.7054553197
4977090264,4978332935,104.684211454
4978332935,4977090264,104.684211454
1359194470,1359194746,34.232179683
1359194746,1359194470,34.232179683
4976867616,4976867615,50.5220219234
4976867615,4976867616,50.5220219234
4978929102,4978929103,63.8350726155
4978929103,4978929102,63.8350726155
4978929103,4978929101,69.6563710796
4978929101,4978929103,69.6563710796
5443154922,5443154923,19.6858858363
5443154923,5443154922,19.6858858363
4978903041,4978908048,50.4780898352
4978908048,4978903041,50.4780898352
4978908048,4978907736,57.2668784924
4978907736,4978908048,57.2668784924
4976870443,4976870439,418.906441001
4976870439,4976870443,418.906441001
4976870439,4976870436,110.266321311
4976870436,4976870439,110.266321311
4976870436,4976869758,98.8342037609
4976869758,4976870436,98.8342037609
4976869758,4976870319,199.450347729
4976870319,4976869758,199.450347729
4976870319,4976869743,163.578719416
4976869743,4976870319,163.578719416
4976869743,566684319,259.759636431
566684319,4976869743,259.759636431
